Feature,Pearson,Linear Regression,RFE,Lasso,Ridge,Elastic Net,Total
EOGReadingGr4_GLP_SWD,True,True,True,False,True,False,4
EOGReadingGr4_CACR_SWD,True,True,True,False,True,False,4
EOGReadingGr3_CACR_AmericanIndian,False,True,True,True,False,True,4
EOGMathGr5_CACR_EDS,True,False,True,True,False,True,4
EOGMathGr3-8_CACR_EDS,True,False,True,True,False,True,4
EOG/EOCSubjects_CACR_AIG,True,False,True,True,False,True,4
Alternative minimum tax Amt 50KLT75K,False,False,True,True,True,True,4
wap_per_classroom,False,True,True,False,True,False,3
st_tchyrs_11plus_pct,False,True,True,False,True,False,3
st_tchyrs_0thru3_pct,False,True,True,False,True,False,3
st_short_susp_per_c_num,False,True,True,False,True,False,3
st_nbpts_num,False,True,True,False,True,False,3
st_long_susp_per_c_num,False,True,True,False,True,False,3
st_highqual_class_pct,False,True,True,False,True,False,3
st_expelled_per_c_num,False,True,True,False,True,False,3
st_emer_prov_teach_pct,False,True,True,False,True,False,3
st_avg_student_num,True,False,False,True,False,True,3
st_avg_daily_attend_pct,False,True,True,False,True,False,3
long_susp_per_c_num,False,True,True,False,True,False,3
lea_wap_per_classroom,False,True,True,False,True,False,3
lea_total_expense_num,True,False,False,True,False,True,3
lea_sat_participation_pct,False,True,True,False,True,False,3
lea_not_highqual_class_lp_pct,False,True,True,False,True,False,3
lea_nbpts_num,True,True,False,False,True,False,3
lea_long_susp_per_c_num,False,True,True,False,True,False,3
lea_instruct_equip_exp_pct,False,True,True,False,True,False,3
lea_ib_pct_4_or_above,False,True,True,False,True,False,3
lea_highqual_class_pct,False,True,True,False,True,False,3
lea_highqual_class_lp_pct,False,True,True,False,True,False,3
lea_highqual_class_hp_pct,False,True,True,False,True,False,3
lea_highqual_class_all_pct,False,True,True,False,True,False,3
lea_federal_perpupil_num,True,False,False,True,False,True,3
lea_expelled_per_c_num,False,True,True,False,True,False,3
lea_emer_prov_teach_pct,False,True,True,False,True,False,3
lea_books_per_student,False,True,True,False,True,False,3
lea_benefits_expense_pct,False,True,True,False,True,False,3
lea_avg_daily_attend_pct,False,True,True,False,True,False,3
lea_ap_participation_pct,False,True,True,False,True,False,3
expelled_per_c_num,False,True,True,False,True,False,3
esea_status_RF,False,True,True,False,True,False,3
esea_status_R,False,True,True,False,True,False,3
esea_attendance_Met,False,True,True,False,True,False,3
digital_media_pct,False,True,True,False,True,False,3
closed_ind,False,True,True,False,True,False,3
category_cd_M,False,True,True,False,True,False,3
category_cd_I,False,True,True,False,True,False,3
"calendar_type_txt_Special Education, Traditional Calendar",False,True,True,False,True,False,3
"calendar_type_txt_Regular School, Year-Round Calendar",False,True,True,False,True,False,3
"calendar_type_txt_Regular School, Traditional Calendar plus Year-Round Calendar",False,True,True,False,True,False,3
"calendar_type_txt_Regular School, Traditional Calendar",False,True,True,False,True,False,3
"calendar_type_txt_Magnet School, Year-Round Calendar",False,True,True,False,True,False,3
"calendar_type_txt_Magnet School, Traditional Calendar",False,True,True,False,True,False,3
calendar_type_txt_Hospital School,False,True,True,False,True,False,3
Year,True,False,False,True,False,True,3
TwoOrMorePct,False,True,True,False,True,False,3
TwoOrMoreMalePct,False,True,True,False,True,False,3
TwoOrMoreFemalePct,False,True,True,False,True,False,3
State Gap Compared_Y,False,True,True,False,True,False,3
SciGr5&8_pTarget_PctMet,True,True,False,False,True,False,3
SPG Grade_I,False,True,True,False,True,False,3
SPG Grade_A+NG,False,True,True,False,True,False,3
SBE District_Western,False,True,True,False,True,False,3
SBE District_Southwest,False,True,True,False,True,False,3
SBE District_Southeast,False,True,True,False,True,False,3
SBE District_Sandhills,False,True,True,False,True,False,3
SBE District_Piedmont-Triad,False,True,True,False,True,False,3
ReadingGr3-8_pTarget_PctMet,False,True,True,False,True,False,3
Partnership/S-corp net income (less loss) Amt LT25K,True,False,False,True,False,True,3
PacificIslandPct,False,True,True,False,True,False,3
PacificIslandMalePct,False,True,True,False,True,False,3
PacificIslandFemalePct,False,True,True,False,True,False,3
Number of farm returns All,True,False,False,True,False,True,3
Not Demostrated_TCHR_Standard 5_Pct,False,True,True,False,True,False,3
