VIF Factor,ABSVIFFactor,features,indexes
4.642202836581645,4.642202836581645,EOGMathGr3-8_CACR_Asian,131
4.722850340409204,4.722850340409204,EOGMathGr4_CACR_TwoorMoreRaces,160
4.749022402270883,4.749022402270883,lea_ib_pct_4_or_above,361
4.774625181835666,4.774625181835666,Does Not Meet Expected Growth_TCHR_Student Growth_Pct,50
4.796629572358913,4.796629572358913,EOGReadingGr4_CACR_TwoorMoreRaces,199
4.828894099242028,4.828894099242028,Domestic production activities deduction Amt 25KLT50K,52
4.837636779683417,4.837636779683417,lea_ap_pct_3_or_above,347
4.855739578132316,4.855739578132316,EOGScienceGr5&8_CACR_Asian,215
4.890557642731842,4.890557642731842,EOGSubjects_CACR_LEP,239
4.914294720755257,4.914294720755257,EOGMathGr4_GLP_LEP,162
4.941552001576534,4.941552001576534,short_susp_per_c_num,386
4.957300788487639,4.957300788487639,lea_books_per_student,351
5.004250688898324,5.004250688898324,EOGMathGr5_CACR_Asian,166
5.0591654753948285,5.0591654753948285,EOGReadingGr5_GLP_LEP,211
5.115693551065067,5.115693551065067,lea_short_susp_per_c_num,372
5.177026912908063,5.177026912908063,EOGGr4_CACR_Hispanic,112
5.206017771994296,5.206017771994296,EOGGr3_CACR_LEP,101
5.279584082334839,5.279584082334839,Domestic production activities deduction Amt 50KLT75K,53
5.291341997307814,5.291341997307814,EOGGr5_CACR_Hispanic,124
5.330127656453823,5.330127656453823,EOCSubjects_CACR_Hispanic,78
5.406384761616438,5.406384761616438,EOGGr3_CACR_Hispanic,100
5.418080229793083,5.418080229793083,EOGMathGr4_GLP_SWD,163
5.434491572625004,5.434491572625004,EOGGr4_CACR_LEP,113
5.443092374481106,5.443092374481106,EOGGr5_CACR_SWD,126
5.502141172759337,5.502141172759337,SBE District_Southwest,297
5.550712189074728,5.550712189074728,EOGReadingGr4_GLP_LEP,200
5.6422065061329185,5.6422065061329185,EOGMathGr4_CACR_LEP,158
5.663042776187586,5.663042776187586,Alternative minimum tax Ct 75KLT100K,28
5.779896407884424,5.779896407884424,EVAAS Growth Status_NotMet,245
5.840252818858968,5.840252818858968,EOGGr4_GLP_LEP,117
5.8696837548291,5.8696837548291,Year,317
5.88696583293147,5.88696583293147,Developing_TCHR_Standard 4_Pct,42
