,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
tchyrs_0thru3_pct,0.65,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.95
lateral_teach_pct,0.65,0.29,0.71,0.61,0.77,0.05,0.6,0.47,0.52
tchyrs_11plus_pct,0.65,0.72,0.2,0.32,0.96,0.07,0.52,0.74,0.52
Developing_TCHR_Standard 4_Pct,0.65,0.41,0.6,0.6,0.85,0.04,0.22,0.32,0.46
lea_short_susp_per_c_num,0.65,0.47,0.61,0.71,0.86,0.03,0.13,0.24,0.46
lea_tchyrs_0thru3_pct,0.65,0.35,0.41,0.41,0.72,0.06,0.49,0.58,0.46
Accomplished_TCHR_Standard 4_Pct,0.65,0.51,0.35,0.38,0.85,0.03,0.3,0.47,0.44
Proficient_TCHR_Standard 4_Pct,0.65,0.45,0.31,0.32,0.85,0.04,0.34,0.53,0.44
flicensed_teach_pct,0.65,0.04,0.3,0.12,0.96,0.25,0.63,0.53,0.44
wap_per_classroom,0.65,0.41,0.58,0.62,0.85,0.04,0.07,0.07,0.41
lea_flicensed_teach_pct,0.65,0.44,0.31,0.42,0.83,0.03,0.35,0.25,0.41
Developing_TCHR_Standard 5_Pct,0.65,0.3,0.42,0.43,0.99,0.02,0.12,0.31,0.4
Proficient_TCHR_Standard 2_Pct,0.65,0.27,0.31,0.32,0.97,0.05,0.27,0.38,0.4
Proficient_TCHR_Standard 1_Pct,0.65,0.19,0.31,0.32,0.86,0.03,0.35,0.47,0.4
SPG Grade_B,0.65,0.57,0.39,0.44,0.8,0.0,0.08,0.22,0.39
Accomplished_TCHR_Standard 2_Pct,0.65,0.28,0.31,0.32,0.99,0.03,0.2,0.31,0.39
lea_ap_pct_3_or_above,0.65,0.43,0.51,0.5,0.84,0.02,0.06,0.12,0.39
lea_salary_expense_pct,0.73,0.44,0.31,0.37,1.0,0.01,0.07,0.1,0.38
SPG Score,0.65,0.19,0.31,0.32,0.87,0.03,0.22,0.44,0.38
SPG Grade_D,0.65,0.5,0.36,0.41,0.79,0.0,0.11,0.22,0.38
Proficient_TCHR_Standard 5_Pct,0.65,0.21,0.31,0.32,0.98,0.03,0.22,0.34,0.38
EOG/EOCSubjects_CACR_EDS,0.65,0.38,0.31,0.32,0.63,0.04,0.26,0.41,0.38
Math SPG Score_F,0.65,0.41,0.41,0.41,0.66,0.0,0.2,0.29,0.38
(VITA) prepared returns Ct 100KLT200K,0.65,0.32,0.49,0.5,0.77,0.0,0.07,0.21,0.38
01_Size,0.65,0.51,0.38,0.43,0.88,0.01,0.06,0.12,0.38
tchyrs_4thru10_pct,0.65,0.62,0.31,0.41,0.96,0.03,0.02,0.02,0.38
Accomplished_TCHR_Standard 5_Pct,0.65,0.2,0.29,0.3,0.98,0.04,0.22,0.35,0.38
MathGr3-8_pTarget_PctMet,0.65,0.62,0.34,0.41,0.86,0.0,0.02,0.08,0.37
Number of farm returns 100KLT200K,0.75,0.38,0.31,0.32,0.95,0.02,0.06,0.19,0.37
Developing_TCHR_Standard 2_Pct,0.65,0.26,0.31,0.32,0.97,0.02,0.12,0.32,0.37
04_Size,0.65,0.45,0.38,0.43,0.88,0.01,0.06,0.13,0.37
Attrition_Reason_OtherReasonsPerct,0.65,0.37,0.44,0.44,0.83,0.01,0.06,0.13,0.37
EOGReadingGr3_CACR_EDS,0.65,0.5,0.31,0.39,0.76,0.01,0.12,0.19,0.37
Distinguished_TCHR_Standard 5_Pct,0.65,0.34,0.38,0.44,0.98,0.01,0.04,0.08,0.36
category_cd_T,0.88,0.31,0.32,0.32,0.95,0.0,0.03,0.05,0.36
Number of farm returns LT25K,0.72,0.36,0.31,0.32,0.93,0.01,0.06,0.15,0.36
Number of farm returns 75KLT100K,0.69,0.37,0.36,0.37,0.94,0.01,0.04,0.11,0.36
SPG Grade_C,0.65,0.57,0.36,0.41,0.8,0.0,0.01,0.07,0.36
EOCMathI_CACR_White,0.65,0.45,0.4,0.43,0.82,0.0,0.0,0.11,0.36
Crime_Rate_Robbery_Rate,0.65,0.51,0.31,0.4,0.9,0.01,0.03,0.08,0.36
SPG Grade_F,0.65,0.36,0.31,0.37,0.79,0.01,0.1,0.18,0.35
EOGReadingGr4_CACR_Black,0.65,0.48,0.37,0.42,0.78,0.01,0.0,0.06,0.35
lea_nbpts_num,0.65,0.4,0.33,0.39,0.75,0.04,0.06,0.19,0.35
EOG/EOCSubjects_CACR_SWD,0.65,0.34,0.32,0.33,0.69,0.02,0.14,0.29,0.35
Proficient_TCHR_Standard 3_Pct,0.65,0.31,0.34,0.36,0.64,0.02,0.21,0.3,0.35
lea_supplies_expense_pct,0.71,0.26,0.31,0.32,1.0,0.01,0.06,0.11,0.35
lea_services_expense_pct,0.71,0.25,0.31,0.32,1.0,0.02,0.09,0.13,0.35
st_highqual_class_pct,0.83,0.19,0.31,0.32,0.91,0.0,0.02,0.13,0.34
Number of farm returns GE200K,0.66,0.34,0.31,0.32,0.95,0.0,0.01,0.09,0.34
st_nbpts_num,0.49,0.55,0.31,0.34,0.92,0.0,0.0,0.11,0.34
Number of farm returns 50KLT75K,0.69,0.28,0.29,0.31,0.94,0.01,0.07,0.14,0.34
EOGSubjects_CACR_AIG,0.65,0.39,0.31,0.32,0.63,0.01,0.07,0.33,0.34
Number of volunteer prepared returns Tot 50KLT75K,0.65,0.51,0.31,0.32,0.88,0.0,0.0,0.05,0.34
lea_sat_avg_score_num,0.65,0.17,0.31,0.22,0.84,0.06,0.19,0.3,0.34
