,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
tchyrs_0thru3_pct,0.51,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.94
tchyrs_11plus_pct,0.51,0.71,0.31,0.34,0.98,0.04,0.43,0.63,0.49
lateral_teach_pct,0.51,0.29,0.45,0.46,0.91,0.09,0.63,0.48,0.48
Developing_TCHR_Standard 2_Pct,0.51,0.42,0.47,0.49,0.97,0.03,0.24,0.52,0.46
Proficient_TCHR_Standard 4_Pct,0.51,0.43,0.43,0.46,0.91,0.04,0.32,0.42,0.44
lea_crime_per_c_num,0.51,0.43,0.54,0.64,0.9,0.03,0.08,0.22,0.42
Developing_TCHR_Standard 4_Pct,0.51,0.38,0.46,0.49,0.78,0.06,0.27,0.45,0.42
Proficient_TCHR_Standard 2_Pct,0.51,0.4,0.37,0.39,0.97,0.04,0.27,0.34,0.41
ReadingGr3-8_pTarget_PctMet,0.51,0.61,0.43,0.5,0.9,0.01,0.06,0.26,0.41
Proficient_TCHR_Standard 3_Pct,0.51,0.38,0.37,0.39,0.96,0.05,0.21,0.31,0.4
EOGGr4_CACR_All,0.51,0.54,0.31,0.43,0.93,0.01,0.13,0.24,0.39
flicensed_teach_pct,0.51,0.13,0.03,0.0,0.98,0.29,0.67,0.54,0.39
Developing_TCHR_Standard 3_Pct,0.51,0.34,0.31,0.34,0.96,0.01,0.16,0.47,0.39
Accomplished_TCHR_Standard 4_Pct,0.51,0.36,0.34,0.38,0.68,0.03,0.24,0.51,0.38
Attrition_Reason_OtherReasons,0.51,0.7,0.31,0.52,0.82,0.01,0.0,0.13,0.38
Number of farm returns All,1.0,0.3,0.31,0.34,0.87,0.02,0.06,0.11,0.38
Developing_TCHR_Standard 5_Pct,0.51,0.34,0.31,0.34,0.93,0.01,0.16,0.42,0.38
Proficient_TCHR_Standard 5_Pct,0.51,0.36,0.31,0.34,0.94,0.03,0.2,0.34,0.38
st_highqual_class_pct,0.63,0.47,0.38,0.48,0.89,0.0,0.03,0.14,0.38
EOG/EOCSubjects_CACR_AIG,0.51,0.51,0.32,0.41,0.89,0.02,0.02,0.31,0.37
Developing_TCHR_Standard 1_Pct,0.51,0.4,0.42,0.45,0.48,0.03,0.24,0.37,0.36
lea_tchyrs_0thru3_pct,0.51,0.32,0.31,0.34,0.4,0.03,0.51,0.49,0.36
Attrition_Reason_OtherReasonsPerct,0.51,0.39,0.43,0.41,1.0,0.02,0.05,0.07,0.36
Distinguished_TCHR_Standard 5_Pct,0.51,0.42,0.4,0.44,0.94,0.01,0.02,0.11,0.36
tchyrs_4thru10_pct,0.51,0.59,0.31,0.34,0.98,0.05,0.05,0.08,0.36
Accomplished_TCHR_Standard 2_Pct,0.51,0.35,0.34,0.36,0.97,0.03,0.07,0.23,0.36
Accomplished_TCHR_Standard 3_Pct,0.51,0.37,0.36,0.38,0.96,0.02,0.06,0.18,0.36
EOGGr3_GLP_SWD,0.51,0.57,0.33,0.36,0.79,0.0,0.09,0.18,0.35
st_tchyrs_0thru3_pct,0.69,0.42,0.31,0.42,0.86,0.0,0.02,0.11,0.35
EOGReadingGr3_CACR_SWD,0.51,0.55,0.31,0.36,0.79,0.01,0.07,0.17,0.35
lea_services_expense_pct,0.45,0.44,0.38,0.41,0.81,0.02,0.11,0.15,0.35
Reading SPG Grade_D,0.51,0.47,0.33,0.39,0.74,0.0,0.11,0.23,0.35
Math I Score,0.51,0.45,0.34,0.38,0.88,0.0,0.03,0.21,0.35
EOG/EOCSubjects_CACR_SWD,0.51,0.46,0.31,0.39,0.67,0.02,0.12,0.3,0.35
02_Size,0.51,0.48,0.35,0.42,0.75,0.01,0.07,0.17,0.34
Crime_Rate_Rape_Rate,0.51,0.49,0.39,0.47,0.76,0.03,0.02,0.07,0.34
Math SPG Grade_F,0.51,0.4,0.37,0.38,0.61,0.0,0.18,0.29,0.34
Accomplished_TCHR_Standard 5_Pct,0.51,0.35,0.31,0.34,0.94,0.02,0.06,0.2,0.34
Reading SPG Grade_C,0.51,0.47,0.31,0.38,0.75,0.0,0.08,0.18,0.34
Avg Dependents Per Ret,0.51,0.39,0.31,0.37,0.78,0.02,0.09,0.25,0.34
EOGMathGr3-8_CACR_Black,0.51,0.45,0.36,0.42,0.77,0.01,0.01,0.16,0.34
Attrition_Reason_InitiatedPerct,0.51,0.39,0.37,0.41,1.0,0.02,0.01,0.03,0.34
Self-employment retirement plans Amt LT25K,0.51,0.58,0.33,0.4,0.78,0.0,0.0,0.09,0.34
category_cd_T,0.42,0.42,0.44,0.44,0.88,0.0,0.04,0.09,0.34
avg_daily_attend_pct,0.51,0.42,0.33,0.48,0.88,0.02,0.03,0.08,0.34
Domestic production activities deduction Ct LT25K,0.51,0.5,0.37,0.41,0.71,0.0,0.02,0.09,0.33
EOGReadingGr3-8_CACR_TwoorMoreRaces,0.51,0.44,0.37,0.42,0.7,0.01,0.01,0.15,0.33
(TCE) prepared returns Ct 25KLT50K,0.51,0.41,0.31,0.34,0.91,0.0,0.0,0.15,0.33
Number of farm returns GE200K,0.48,0.49,0.33,0.37,0.92,0.0,0.0,0.03,0.33
SPG Grade_B,0.51,0.31,0.31,0.33,0.9,0.0,0.08,0.21,0.33
lea_tchyrs_11plus_pct,0.51,0.38,0.31,0.34,0.52,0.03,0.2,0.35,0.33
lea_flicensed_teach_pct,0.51,0.2,0.0,0.07,0.94,0.1,0.52,0.32,0.33
4-10 Years_LEA_Exp_Pct_Prin,0.51,0.37,0.31,0.34,0.99,0.01,0.04,0.06,0.33
lea_benefits_expense_pct,0.48,0.31,0.19,0.19,0.92,0.01,0.23,0.29,0.33
EOG/EOCSubjects_CACR_All,0.51,0.37,0.31,0.34,0.33,0.03,0.2,0.53,0.33
Attrition_Reason_RemainedinEducationPerct,0.51,0.36,0.31,0.35,1.0,0.01,0.01,0.06,0.33
Proficient_TCHR_Standard 1_Pct,0.51,0.36,0.31,0.34,0.45,0.04,0.3,0.35,0.33
(TCE) prepared returns Ct 75KLT100K,0.51,0.38,0.38,0.45,0.7,0.0,0.01,0.09,0.32
LEACode,0.51,0.32,0.31,0.34,0.99,0.0,0.0,0.05,0.32
SPG Score,0.51,0.39,0.31,0.34,0.36,0.02,0.14,0.49,0.32
EOGMathGr3-8_GLP_SWD,0.51,0.3,0.31,0.34,0.76,0.01,0.13,0.22,0.32
Number of farm returns LT25K,0.4,0.44,0.31,0.34,0.84,0.01,0.05,0.19,0.32
EOGGr4_CACR_White,0.51,0.41,0.38,0.4,0.58,0.0,0.1,0.18,0.32
Number of volunteer prepared returns Tot 50KLT75K,0.51,0.37,0.31,0.34,0.92,0.0,0.0,0.08,0.32
Number of farm returns 25KLT50K,0.4,0.42,0.31,0.34,0.84,0.01,0.06,0.17,0.32
EOGGr3_CACR_All,0.51,0.2,0.25,0.25,0.93,0.01,0.17,0.28,0.32
EOG/EOCSubjects_CACR_TwoorMoreRaces,0.51,0.45,0.37,0.41,0.72,0.02,0.02,0.09,0.32
school_type_txt_Regular School,0.71,0.24,0.31,0.33,0.88,0.0,0.01,0.04,0.32
EOG/EOCSubjects_CACR_EDS,0.51,0.19,0.2,0.16,0.89,0.03,0.19,0.43,0.32
EOGMathGr3-8_CACR_SWD,0.51,0.35,0.31,0.34,0.75,0.01,0.11,0.19,0.32
unit_code,0.51,0.32,0.31,0.34,0.99,0.02,0.0,0.05,0.32
Distinguished_TCHR_Standard 2_Pct,0.51,0.32,0.31,0.34,0.97,0.01,0.03,0.08,0.32
Attrition_Reason_PersonalPerct,0.51,0.37,0.31,0.34,1.0,0.02,0.0,0.05,0.32
04_Size,0.51,0.44,0.35,0.4,0.71,0.02,0.06,0.11,0.32
Distinguished_TCHR_Standard 3_Pct,0.51,0.34,0.31,0.34,0.96,0.01,0.02,0.07,0.32
(VITA) prepared returns Ct 100KLT200K,0.51,0.44,0.35,0.36,0.82,0.0,0.02,0.09,0.32
(VITA) prepared returns Ct 25KLT50K,0.51,0.39,0.31,0.34,0.95,0.01,0.0,0.08,0.32
10+ Years_LEA_Exp_Pct_Prin,0.51,0.37,0.31,0.34,0.99,0.01,0.01,0.05,0.32
0-3 Years_LEA_Exp_Pct_Prin,0.51,0.32,0.31,0.32,1.0,0.01,0.06,0.06,0.32
EOGMathGr3-8_CACR_White,0.51,0.41,0.31,0.34,0.49,0.01,0.1,0.31,0.31
Attrition_Reason_BeyondControlPerct,0.51,0.27,0.24,0.27,1.0,0.02,0.03,0.13,0.31
EOGReadingGr5_CACR_TwoorMoreRaces,0.51,0.4,0.31,0.38,0.83,0.0,0.0,0.03,0.31
Reading SPG Grade_F,0.51,0.41,0.31,0.38,0.65,0.0,0.07,0.14,0.31
Accomplished_TCHR_Standard 1_Pct,0.51,0.37,0.31,0.34,0.45,0.03,0.16,0.31,0.31
SPG Grade_C,0.51,0.28,0.3,0.32,0.9,0.0,0.04,0.14,0.31
Earned income credit Amt 50KLT75K,0.51,0.4,0.31,0.34,0.82,0.0,0.0,0.1,0.31
Crime_Rate_Murder_Rate,0.51,0.28,0.31,0.34,0.73,0.02,0.06,0.21,0.31
lea_salary_expense_pct,0.44,0.32,0.31,0.34,0.81,0.01,0.06,0.15,0.31
Not Demostrated_TCHR_Standard 3_Pct,0.51,0.35,0.31,0.34,0.95,0.0,0.0,0.02,0.31
student_num,0.51,0.28,0.26,0.24,0.64,0.08,0.0,0.46,0.31
Not Demostrated_TCHR_Standard 2_Pct,0.51,0.32,0.31,0.34,0.95,0.0,0.0,0.02,0.31
EOCMathI_CACR_Asian,0.51,0.41,0.37,0.4,0.64,0.0,0.0,0.12,0.31
EOCMathI_CACR_Black,0.51,0.39,0.36,0.38,0.42,0.01,0.06,0.31,0.31
EOGReadingGr3_CACR_Hispanic,0.51,0.42,0.36,0.43,0.59,0.01,0.03,0.12,0.31
Tot premium tax credit Amt 75KLT100K,0.51,0.46,0.31,0.34,0.8,0.0,0.0,0.05,0.31
"calendar_type_txt_Regular School, Traditional Calendar plus Year-Round Calendar",0.48,0.38,0.31,0.42,0.85,0.0,0.0,0.02,0.31
EOGSubjects_CACR_AIG,0.51,0.1,0.31,0.28,0.89,0.01,0.03,0.26,0.3
EOGReadingGr3-8_CACR_EDS,0.51,0.4,0.31,0.34,0.33,0.01,0.14,0.38,0.3
Domestic production activities deduction Amt 25KLT50K,0.51,0.29,0.29,0.32,0.87,0.0,0.0,0.1,0.3
lea_instruct_equip_exp_pct,0.48,0.41,0.31,0.34,0.81,0.01,0.0,0.08,0.3
EVAAS Growth Status_NotMet,0.51,0.43,0.35,0.38,0.61,0.0,0.05,0.11,0.3
EOCMathI_CACR_SWD,0.51,0.45,0.31,0.34,0.65,0.0,0.0,0.1,0.3
Number of farm returns 50KLT75K,0.4,0.31,0.27,0.33,0.86,0.01,0.06,0.13,0.3
EOGMathGr3-8_GLP_LEP,0.51,0.41,0.31,0.34,0.66,0.01,0.02,0.13,0.3
EOGReadingGr4_CACR_SWD,0.51,0.41,0.32,0.34,0.62,0.0,0.05,0.12,0.3
EOGMathGr3_CACR_SWD,0.51,0.46,0.32,0.36,0.43,0.01,0.07,0.2,0.3
lea_highqual_class_all_pct,0.51,0.24,0.31,0.33,0.73,0.02,0.11,0.11,0.3
Domestic production activities deduction Ct 100KLT200K,0.51,0.4,0.31,0.34,0.77,0.0,0.01,0.1,0.3
lea_stud_internet_comp_num,0.51,0.38,0.31,0.36,0.69,0.02,0.03,0.07,0.3
Domestic production activities deduction Amt 75KLT100K,0.51,0.36,0.31,0.34,0.83,0.01,0.01,0.04,0.3
EOGGr5_CACR_TwoorMoreRaces,0.51,0.39,0.35,0.38,0.68,0.01,0.02,0.07,0.3
EOGMathGr5_CACR_Hispanic,0.51,0.4,0.37,0.4,0.63,0.0,0.02,0.09,0.3
Number of farm returns 75KLT100K,0.43,0.32,0.32,0.34,0.84,0.01,0.02,0.13,0.3
lea_ap_pct_3_or_above,0.51,0.34,0.31,0.36,0.57,0.01,0.08,0.18,0.3
Self-employment retirement plans Amt 25KLT50K,0.51,0.36,0.31,0.34,0.77,0.0,0.01,0.08,0.3
(VITA) prepared returns Ct 50KLT75K,0.51,0.2,0.31,0.34,0.92,0.01,0.01,0.07,0.3
TotalTargets_pTarget_PctMet,0.51,0.29,0.31,0.33,0.47,0.06,0.09,0.32,0.3
EOGGr3_CACR_SWD,0.51,0.17,0.31,0.34,0.78,0.0,0.08,0.2,0.3
Distinguished_TCHR_Standard 1_Pct,0.51,0.41,0.35,0.38,0.6,0.02,0.06,0.09,0.3
EOGReadingGr3-8_GLP_SWD,0.51,0.42,0.31,0.34,0.46,0.01,0.1,0.2,0.29
Domestic production activities deduction Amt 50KLT75K,0.51,0.29,0.31,0.34,0.79,0.0,0.01,0.1,0.29
EOGReadingGr3_GLP_SWD,0.51,0.13,0.31,0.32,0.79,0.01,0.08,0.16,0.29
Alternative minimum tax Amt 50KLT75K,0.51,0.43,0.31,0.34,0.7,0.0,0.0,0.03,0.29
lea_highqual_class_pct,0.51,0.38,0.31,0.34,0.47,0.03,0.08,0.18,0.29
lea_advance_dgr_pct,0.51,0.38,0.31,0.34,0.46,0.02,0.1,0.2,0.29
lea_highqual_class_lp_pct,0.51,0.31,0.31,0.34,0.74,0.01,0.01,0.07,0.29
EOGReadingGr3-8_CACR_SWD,0.51,0.21,0.31,0.34,0.68,0.01,0.09,0.16,0.29
State and local general sales taxes Amt GE200K,0.51,0.47,0.31,0.4,0.55,0.0,0.0,0.09,0.29
EOCMathI_CACR_TwoorMoreRaces,0.51,0.4,0.31,0.36,0.52,0.0,0.0,0.18,0.29
