,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
lea_supplies_expense_pct,0.45,0.29,0.31,0.31,0.81,0.01,0.03,0.08,0.29
SPG Grade_F,0.51,0.29,0.31,0.34,0.61,0.0,0.08,0.16,0.29
EOG/EOCSubjects_CACR_White,0.51,0.25,0.31,0.33,0.58,0.02,0.09,0.23,0.29
EOGGr4_CACR_SWD,0.51,0.29,0.31,0.34,0.63,0.0,0.09,0.18,0.29
Domestic production activities deduction Amt LT25K,0.51,0.33,0.32,0.38,0.69,0.0,0.01,0.09,0.29
Add child tax credit Amt 75KLT100K,0.51,0.23,0.31,0.34,0.82,0.0,0.0,0.09,0.29
EOGMathGr3-8_CACR_Hispanic,0.51,0.42,0.31,0.34,0.5,0.01,0.05,0.14,0.29
EOGGr5_CACR_White,0.51,0.43,0.31,0.35,0.48,0.0,0.09,0.17,0.29
short_susp_per_c_num,0.51,0.31,0.31,0.31,0.37,0.06,0.09,0.34,0.29
Crime_Rate_MVT_Rate,0.51,0.38,0.27,0.3,0.76,0.01,0.0,0.1,0.29
Math I_Size,0.51,0.43,0.34,0.39,0.37,0.01,0.06,0.22,0.29
Domestic production activities deduction Ct 75KLT100K,0.51,0.29,0.31,0.34,0.85,0.0,0.01,0.04,0.29
lea_avg_age_media_collection_2001,0.51,0.34,0.32,0.38,0.73,0.0,0.0,0.03,0.29
EOGScienceGr5_CACR_TwoorMoreRaces,0.51,0.42,0.32,0.4,0.62,0.0,0.0,0.03,0.29
00_Size,0.51,0.28,0.3,0.31,0.64,0.01,0.08,0.17,0.29
EOGScienceGr5&8_CACR_AIG,0.51,0.44,0.33,0.36,0.53,0.0,0.03,0.12,0.29
EOGScienceGr5&8_CACR_LEP,0.51,0.41,0.33,0.38,0.51,0.0,0.01,0.14,0.29
Exceeds Expected Growth_TCHR_Standard 6_Pct,0.51,0.42,0.32,0.4,0.41,0.03,0.03,0.09,0.28
Residential energy tax credit Amt LT25K,0.51,0.4,0.31,0.36,0.61,0.0,0.02,0.05,0.28
SPG Grade_D,0.51,0.35,0.35,0.37,0.22,0.0,0.15,0.32,0.28
Does Not Meet Expected Growth_TCHR_Standard 6_Pct,0.51,0.4,0.35,0.4,0.25,0.04,0.15,0.17,0.28
lea_not_highqual_class_hp_pct,0.51,0.28,0.31,0.34,0.72,0.01,0.03,0.07,0.28
lea_ap_participation_pct,0.51,0.34,0.33,0.34,0.6,0.01,0.01,0.09,0.28
EOGReadingGr5_CACR_EDS,0.51,0.39,0.31,0.34,0.29,0.01,0.13,0.25,0.28
lea_avg_age_media_collection_1994,0.51,0.37,0.36,0.4,0.54,0.0,0.01,0.02,0.28
Crime_Rate_Arson_Rate,0.51,0.35,0.31,0.33,0.66,0.01,0.01,0.07,0.28
advance_dgr_pct,0.51,0.36,0.31,0.36,0.25,0.04,0.15,0.22,0.28
SBE District_Northeast,0.51,0.26,0.31,0.32,0.69,0.0,0.05,0.11,0.28
EOGScienceGr5_CACR_SWD,0.51,0.47,0.31,0.36,0.43,0.0,0.06,0.14,0.28
Avg Tot Income,0.51,0.34,0.34,0.34,0.6,0.01,0.0,0.09,0.28
EOGReadingGr5_CACR_Hispanic,0.51,0.39,0.31,0.35,0.59,0.0,0.01,0.1,0.28
EOGSubjects_CACR_TwoorMoreRaces,0.51,0.28,0.31,0.34,0.71,0.01,0.02,0.08,0.28
EOGGr4_CACR_AIG,0.51,0.25,0.29,0.3,0.63,0.0,0.09,0.17,0.28
EOCMathI_CACR_White,0.51,0.41,0.35,0.38,0.43,0.01,0.01,0.15,0.28
EOGGr5_CACR_SWD,0.51,0.26,0.31,0.3,0.65,0.0,0.09,0.16,0.28
st_avg_age_media_collection,0.51,0.35,0.36,0.42,0.56,0.0,0.0,0.02,0.28
EOGGr4_CACR_Hispanic,0.51,0.39,0.37,0.4,0.46,0.0,0.03,0.08,0.28
EOGMathGr3-8_CACR_LEP,0.51,0.26,0.31,0.32,0.67,0.01,0.02,0.12,0.28
EOGMathGr4_CACR_LEP,0.51,0.43,0.31,0.34,0.62,0.0,0.01,0.05,0.28
EOCMathI_GLP_SWD,0.51,0.3,0.31,0.34,0.58,0.0,0.0,0.16,0.28
EOGMathGr3-8_CACR_EDS,0.51,0.33,0.29,0.34,0.2,0.02,0.16,0.36,0.28
lea_sat_avg_score_num,0.51,0.34,0.31,0.34,0.31,0.03,0.16,0.27,0.28
nbpts_num,0.51,0.3,0.28,0.3,0.24,0.02,0.08,0.41,0.27
"calendar_type_txt_Regular School, Year-Round Calendar",0.36,0.31,0.31,0.3,0.85,0.0,0.0,0.01,0.27
Alternative minimum tax Amt 75KLT100K,0.51,0.24,0.31,0.33,0.63,0.0,0.01,0.1,0.27
EOGSubjects_CACR_SWD,0.51,0.37,0.31,0.34,0.28,0.01,0.12,0.25,0.27
Crime_Rate_Index_Rate,0.51,0.11,0.31,0.31,0.76,0.01,0.02,0.14,0.27
Net premium tax credit Amt 50KLT75K,0.51,0.28,0.31,0.34,0.66,0.0,0.0,0.07,0.27
EOGGr4_GLP_LEP,0.51,0.41,0.31,0.34,0.49,0.0,0.02,0.07,0.27
03_Size,0.51,0.22,0.23,0.22,0.75,0.01,0.08,0.16,0.27
"calendar_type_txt_Special Education, Traditional Calendar",0.51,0.41,0.31,0.4,0.52,0.0,0.0,0.01,0.27
EOGScienceGr5&8_GLP_LEP,0.51,0.3,0.31,0.34,0.51,0.0,0.0,0.16,0.27
EOGScienceGr5_CACR_AmericanIndian,0.51,0.46,0.31,0.38,0.44,0.0,0.0,0.03,0.27
EOGScienceGr5_CACR_Hispanic,0.51,0.38,0.31,0.34,0.51,0.0,0.02,0.09,0.27
EOCSubjects_CACR_TwoorMoreRaces,0.51,0.25,0.26,0.26,0.72,0.0,0.0,0.17,0.27
EOGReadingGr5_GLP_Hispanic,0.51,0.3,0.31,0.34,0.59,0.0,0.02,0.1,0.27
lea_avg_age_media_collection_2007,0.51,0.28,0.31,0.34,0.69,0.0,0.0,0.02,0.27
st_short_susp_per_c_num,0.02,0.39,0.33,0.34,0.84,0.0,0.08,0.14,0.27
lea_avg_age_media_collection_1999,0.51,0.25,0.3,0.31,0.7,0.0,0.01,0.09,0.27
EOGReadingGr3_GLP_LEP,0.51,0.42,0.31,0.36,0.5,0.0,0.02,0.08,0.27
EOGMathGr5_CACR_AIG,0.51,0.31,0.31,0.34,0.48,0.0,0.08,0.16,0.27
Alternative minimum tax Amt 25KLT50K,0.51,0.22,0.31,0.3,0.77,0.0,0.01,0.05,0.27
Reading SPG Grade_B,0.51,0.37,0.28,0.34,0.32,0.0,0.09,0.23,0.27
lea_avg_age_media_collection_1996,0.51,0.27,0.28,0.3,0.74,0.0,0.0,0.03,0.27
Reading  SPG Score,0.51,0.2,0.27,0.23,0.3,0.02,0.09,0.51,0.27
EOGMathGr5_GLP_SWD,0.51,0.36,0.31,0.34,0.42,0.0,0.06,0.16,0.27
EOCMathI_CACR_AIG,0.51,0.29,0.31,0.34,0.47,0.0,0.02,0.2,0.27
lea_avg_age_media_collection_2000,0.51,0.31,0.31,0.34,0.62,0.0,0.01,0.05,0.27
EOGGr5_CACR_All,0.51,0.3,0.31,0.34,0.27,0.0,0.13,0.25,0.26
lea_avg_age_media_collection_2005,0.51,0.32,0.31,0.34,0.57,0.0,0.0,0.02,0.26
lea_avg_age_media_collection_1991,0.51,0.36,0.31,0.34,0.56,0.0,0.0,0.02,0.26
Crime_Rate_Burglary_Rate,0.51,0.42,0.31,0.34,0.4,0.01,0.03,0.08,0.26
"calendar_type_txt_Magnet School, Traditional Calendar",0.51,0.19,0.27,0.23,0.87,0.0,0.0,0.03,0.26
lea_tchyrs_4thru10_pct,0.51,0.35,0.29,0.31,0.4,0.09,0.08,0.07,0.26
lea_avg_age_media_collection_1995,0.51,0.28,0.27,0.29,0.68,0.0,0.0,0.02,0.26
lea_avg_age_media_collection_2006,0.51,0.35,0.31,0.34,0.54,0.0,0.0,0.01,0.26
Self-employment retirement plans Amt 75KLT100K,0.51,0.3,0.3,0.28,0.57,0.0,0.01,0.09,0.26
EOGGr5_CACR_EDS,0.51,0.25,0.31,0.32,0.3,0.01,0.13,0.26,0.26
Distinguished_TCHR_Standard 4_Pct,0.51,0.32,0.31,0.34,0.45,0.02,0.05,0.1,0.26
lea_avg_age_media_collection_2002,0.51,0.3,0.33,0.34,0.54,0.0,0.0,0.02,0.26
lea_avg_age_media_collection_1993,0.51,0.32,0.31,0.34,0.57,0.0,0.0,0.01,0.26
EOG/EOCSubjects_CACR_Hispanic,0.51,0.29,0.31,0.32,0.46,0.02,0.04,0.16,0.26
lea_avg_age_media_collection_2003,0.51,0.33,0.31,0.36,0.54,0.0,0.0,0.01,0.26
EOG/EOCSubjects_CACR_LEP,0.51,0.41,0.31,0.35,0.32,0.01,0.02,0.11,0.26
lea_avg_age_media_collection_1997,0.51,0.35,0.31,0.35,0.55,0.0,0.0,0.04,0.26
lea_avg_age_media_collection_1998,0.51,0.34,0.32,0.36,0.56,0.0,0.0,0.03,0.26
EOGGr3_CACR_Hispanic,0.51,0.27,0.26,0.27,0.59,0.01,0.06,0.1,0.26
Not Demostrated_TCHR_Standard 5_Pct,0.51,0.34,0.31,0.34,0.51,0.0,0.0,0.03,0.26
Attrition_Reason_RemainedinEducation,0.51,0.45,0.31,0.34,0.37,0.01,0.0,0.1,0.26
EOGGr4_CACR_Black,0.51,0.38,0.38,0.39,0.28,0.0,0.0,0.11,0.26
Crime_Rate_Robbery_Rate,0.51,0.32,0.31,0.34,0.37,0.01,0.05,0.14,0.26
Domestic production activities deduction Ct 50KLT75K,0.51,0.44,0.31,0.37,0.35,0.0,0.01,0.1,0.26
Pct of Farm Returns,0.51,0.27,0.31,0.32,0.48,0.01,0.03,0.12,0.26
EOCSubjects_CACR_SWD,0.51,0.23,0.28,0.27,0.67,0.01,0.0,0.07,0.26
EOCSubjects_GLP_LEP,0.51,0.38,0.31,0.34,0.36,0.0,0.0,0.14,0.26
EOGReadingGr4_CACR_Hispanic,0.51,0.38,0.32,0.36,0.35,0.01,0.02,0.15,0.26
lea_emer_prov_teach_pct,0.51,0.34,0.31,0.34,0.5,0.01,0.01,0.07,0.26
category_cd_E,0.0,0.36,0.31,0.34,0.86,0.0,0.08,0.14,0.26
EOGMathGr4_CACR_AIG,0.51,0.39,0.33,0.36,0.26,0.0,0.08,0.16,0.26
EOGScienceGr5&8_CACR_Hispanic,0.51,0.26,0.29,0.29,0.53,0.01,0.0,0.2,0.26
EOGMathGr3-8_CACR_AIG,0.51,0.3,0.29,0.32,0.31,0.01,0.05,0.33,0.26
EOGMathGr5_CACR_White,0.51,0.37,0.31,0.34,0.26,0.0,0.11,0.18,0.26
EOGScienceGr5&8_CACR_White,0.51,0.27,0.29,0.31,0.49,0.01,0.05,0.11,0.26
EOGReadingGr4_GLP_SWD,0.51,0.32,0.31,0.34,0.42,0.01,0.06,0.13,0.26
EOGMathGr3_CACR_TwoorMoreRaces,0.51,0.39,0.33,0.38,0.39,0.0,0.0,0.04,0.26
Add child tax credit Amt 25KLT50K,0.51,0.0,0.31,0.19,0.95,0.01,0.0,0.08,0.26
lea_avg_student_num,0.51,0.19,0.21,0.2,0.8,0.05,0.0,0.15,0.26
EOGMathGr5_CACR_TwoorMoreRaces,0.51,0.21,0.3,0.23,0.83,0.0,0.0,0.03,0.26
lea_avg_age_media_collection_1936,0.51,0.28,0.22,0.23,0.83,0.0,0.0,0.01,0.26
category_cd_I,0.33,0.32,0.29,0.28,0.86,0.0,0.0,0.02,0.26
EOGMathGr3-8_CACR_TwoorMoreRaces,0.51,0.25,0.23,0.24,0.72,0.01,0.03,0.13,0.26
EOGScienceGr5_GLP_SWD,0.51,0.26,0.31,0.34,0.42,0.0,0.07,0.11,0.25
EOGGr4_CACR_LEP,0.51,0.27,0.31,0.32,0.49,0.0,0.02,0.06,0.25
Crime_Rate_Violent_Rate,0.51,0.34,0.21,0.24,0.55,0.01,0.04,0.12,0.25
EOGMathGr3_CACR_LEP,0.51,0.3,0.28,0.3,0.5,0.0,0.02,0.08,0.25
EOGGr5_CACR_Hispanic,0.51,0.41,0.32,0.38,0.25,0.01,0.03,0.07,0.25
closed_ind,0.51,0.29,0.31,0.34,0.52,0.0,0.0,0.01,0.25
05_Size,0.51,0.3,0.31,0.33,0.41,0.01,0.05,0.1,0.25
EOGGr3_GLP_LEP,0.51,0.35,0.31,0.34,0.38,0.0,0.04,0.1,0.25
SBE District_Western,0.51,0.26,0.3,0.3,0.55,0.0,0.01,0.06,0.25
lea_sat_participation_pct,0.51,0.33,0.31,0.34,0.33,0.02,0.01,0.14,0.25
EOGMathGr4_CACR_Hispanic,0.51,0.3,0.31,0.33,0.41,0.0,0.02,0.11,0.25
SBE District_Piedmont-Triad,0.51,0.26,0.27,0.3,0.56,0.0,0.03,0.08,0.25
EOCMathI_GLP_LEP,0.51,0.31,0.31,0.34,0.34,0.0,0.0,0.16,0.25
Not Demostrated_TCHR_Standard 1_Pct,0.51,0.36,0.31,0.34,0.45,0.0,0.01,0.03,0.25
EOGReadingGr3-8_CACR_Black,0.51,0.3,0.31,0.34,0.38,0.01,0.0,0.18,0.25
EOGScienceGr5&8_CACR_EDS,0.51,0.39,0.31,0.34,0.29,0.01,0.05,0.13,0.25
Alternative minimum tax Amt LT25K,0.51,0.41,0.31,0.36,0.39,0.0,0.01,0.04,0.25
EVAAS Growth Status_Met,0.51,0.38,0.32,0.35,0.41,0.0,0.02,0.04,0.25
"calendar_type_txt_Regular School, Traditional Calendar",0.26,0.27,0.3,0.29,0.85,0.0,0.01,0.03,0.25
Science Score,0.51,0.28,0.26,0.31,0.34,0.01,0.06,0.22,0.25
stud_internet_comp_num,0.51,0.34,0.31,0.34,0.24,0.05,0.05,0.16,0.25
Alternative minimum tax Ct 50KLT75K,0.51,0.25,0.24,0.26,0.71,0.0,0.0,0.03,0.25
EOGMathGr3-8_CACR_Asian,0.51,0.41,0.33,0.37,0.18,0.01,0.0,0.16,0.25
EOGReadingGr5_GLP_SWD,0.51,0.3,0.3,0.28,0.43,0.0,0.05,0.09,0.25
