,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
SBE District_Northwest,0.5,0.42,0.32,0.34,0.22,0.0,0.05,0.08,0.24
SBE District_Piedmont-Triad,0.5,0.41,0.31,0.31,0.38,0.0,0.01,0.02,0.24
SPG Grade_F,0.5,0.44,0.33,0.35,0.07,0.01,0.07,0.13,0.24
Pct of Elderly Returns,0.5,0.25,0.22,0.12,0.72,0.02,0.01,0.06,0.24
Self-employed (Keogh) retirement plans Amt LT25K,0.5,0.31,0.32,0.31,0.44,0.0,0.0,0.05,0.24
books_per_student,0.5,0.43,0.32,0.31,0.3,0.04,0.0,0.03,0.24
wap_per_classroom,0.5,0.44,0.32,0.31,0.26,0.05,0.02,0.04,0.24
Number of refund anticipation loan returns 50KLT75K,0.5,0.48,0.34,0.38,0.2,0.0,0.0,0.05,0.24
EOGScienceGr5_CACR_Black,0.5,0.3,0.32,0.26,0.46,0.0,0.0,0.1,0.24
EOGMathGr5_CACR_SWD,0.5,0.4,0.32,0.31,0.28,0.0,0.03,0.07,0.24
EOGMathGr5_CACR_AmericanIndian,0.5,0.39,0.32,0.31,0.36,0.0,0.0,0.02,0.24
EOGReadingGr4_CACR_EDS,0.5,0.42,0.32,0.31,0.07,0.01,0.09,0.23,0.24
EOGMathGr5_CACR_AIG,0.5,0.46,0.32,0.31,0.0,0.0,0.09,0.21,0.24
EOGMathGr3_CACR_AmericanIndian,0.5,0.43,0.32,0.31,0.34,0.0,0.0,0.02,0.24
EOGReadingGr5_CACR_Black,0.5,0.4,0.32,0.31,0.31,0.01,0.0,0.1,0.24
EOGMathGr3-8_CACR_AmericanIndian,0.5,0.48,0.32,0.31,0.32,0.0,0.0,0.02,0.24
EOGGr5_CACR_AIG,0.5,0.4,0.31,0.29,0.15,0.0,0.08,0.22,0.24
EOGGr4_CACR_TwoorMoreRaces,0.5,0.38,0.3,0.27,0.42,0.0,0.01,0.03,0.24
EOGGr4_CACR_Asian,0.5,0.45,0.32,0.31,0.23,0.0,0.02,0.05,0.24
EOGScienceGr5&8_CACR_SWD,0.5,0.41,0.32,0.31,0.19,0.01,0.02,0.18,0.24
EOG/EOCSubjects_CACR_Hispanic,0.5,0.43,0.32,0.31,0.14,0.03,0.09,0.11,0.24
EOGGr3_CACR_Black,0.5,0.44,0.32,0.31,0.29,0.0,0.01,0.09,0.24
EOCMathI_GLP_LEP,0.5,0.39,0.32,0.31,0.3,0.0,0.0,0.1,0.24
EOCMathI_CACR_LEP,0.5,0.43,0.32,0.31,0.27,0.0,0.0,0.08,0.24
00_Size,0.5,0.4,0.3,0.29,0.22,0.01,0.06,0.15,0.24
02_Size,0.5,0.4,0.29,0.29,0.2,0.01,0.06,0.14,0.24
Meets Expected Growth_TCHR_Student Growth_Pct,0.5,0.44,0.32,0.31,0.18,0.04,0.02,0.07,0.24
Math SPG Grade_C,0.5,0.45,0.35,0.35,0.17,0.0,0.02,0.06,0.24
Domestic production activities deduction Amt 75KLT100K,0.5,0.16,0.13,0.09,0.94,0.01,0.01,0.08,0.24
EOCMathI_CACR_TwoorMoreRaces,0.5,0.39,0.32,0.28,0.31,0.0,0.0,0.14,0.24
EOGScienceGr5_CACR_SWD,0.5,0.45,0.32,0.31,0.25,0.0,0.03,0.08,0.24
pct_GCE_ALL,0.5,0.37,0.2,0.15,0.51,0.01,0.02,0.11,0.23
EOCMathI_CACR_Black,0.5,0.43,0.33,0.31,0.05,0.01,0.02,0.17,0.23
EOGGr5_CACR_LEP,0.5,0.4,0.32,0.29,0.3,0.0,0.01,0.04,0.23
expelled_per_c_num,0.5,0.4,0.32,0.31,0.28,0.0,0.0,0.01,0.23
EOCSubjects_CACR_AmericanIndian,0.5,0.43,0.32,0.31,0.21,0.0,0.0,0.04,0.23
EOGMathGr3-8_CACR_Hispanic,0.5,0.41,0.32,0.31,0.1,0.01,0.05,0.13,0.23
Byod_Yes,0.5,0.43,0.32,0.32,0.24,0.0,0.01,0.03,0.23
EOGMathGr3_CACR_AIG,0.5,0.41,0.32,0.31,0.15,0.0,0.04,0.12,0.23
EOGMathGr3_CACR_Asian,0.5,0.41,0.32,0.31,0.23,0.0,0.01,0.05,0.23
EOGMathGr3_CACR_SWD,0.5,0.42,0.32,0.31,0.09,0.0,0.05,0.13,0.23
EOGReadingGr3-8_CACR_TwoorMoreRaces,0.5,0.45,0.32,0.33,0.09,0.01,0.01,0.15,0.23
Alternative minimum tax Amt 75KLT100K,0.5,0.27,0.31,0.31,0.44,0.0,0.0,0.03,0.23
EOGGr3_CACR_AmericanIndian,0.5,0.37,0.32,0.31,0.34,0.0,0.0,0.02,0.23
_1_to_1_access_Yes,0.5,0.44,0.32,0.32,0.23,0.0,0.01,0.03,0.23
EOGMathGr3_CACR_Hispanic,0.5,0.4,0.32,0.3,0.27,0.0,0.01,0.07,0.23
EOGReadingGr3-8_GLP_SWD,0.5,0.44,0.32,0.31,0.04,0.01,0.09,0.16,0.23
Investment interest paid Amt LT25K,0.5,0.26,0.11,0.09,0.85,0.0,0.01,0.05,0.23
SPG Grade_A+NG,0.5,0.43,0.32,0.31,0.23,0.0,0.01,0.04,0.23
EOGSubjects_CACR_TwoorMoreRaces,0.5,0.42,0.32,0.31,0.08,0.01,0.04,0.15,0.23
EOGReadingGr5_CACR_Hispanic,0.5,0.4,0.32,0.31,0.22,0.01,0.01,0.06,0.23
SPG Grade_I,0.5,0.3,0.2,0.15,0.67,0.0,0.0,0.01,0.23
EOGScienceGr5&8_CACR_AmericanIndian,0.5,0.38,0.32,0.3,0.29,0.0,0.0,0.02,0.23
EOCSubjects_CACR_Black,0.5,0.41,0.32,0.31,0.1,0.01,0.01,0.14,0.22
EOGReadingGr3-8_CACR_LEP,0.5,0.44,0.32,0.31,0.12,0.01,0.02,0.04,0.22
EOGGr4_CACR_Black,0.5,0.46,0.32,0.31,0.06,0.02,0.01,0.1,0.22
EOGScienceGr5&8_CACR_LEP,0.5,0.43,0.32,0.31,0.12,0.0,0.0,0.06,0.22
EOGGr3_CACR_LEP,0.5,0.41,0.32,0.31,0.11,0.0,0.02,0.07,0.22
EOGScienceGr5&8_CACR_TwoorMoreRaces,0.5,0.42,0.32,0.31,0.18,0.0,0.0,0.07,0.22
EOGGr3_CACR_AIG,0.5,0.43,0.33,0.32,0.03,0.0,0.05,0.1,0.22
EOG/EOCSubjects_CACR_AmericanIndian,0.5,0.45,0.32,0.32,0.16,0.0,0.0,0.04,0.22
Residential energy tax credit Amt LT25K,0.5,0.46,0.32,0.31,0.16,0.0,0.0,0.03,0.22
EOCSubjects_CACR_Asian,0.5,0.41,0.32,0.31,0.18,0.0,0.0,0.08,0.22
Reading SPG Grade_F,0.5,0.4,0.32,0.31,0.03,0.0,0.06,0.13,0.22
EOCMathI_CACR_White,0.5,0.43,0.32,0.31,0.19,0.0,0.0,0.04,0.22
EOGScienceGr5_GLP_LEP,0.5,0.44,0.32,0.31,0.19,0.0,0.0,0.02,0.22
EOCMathI_CACR_SWD,0.5,0.44,0.32,0.31,0.12,0.0,0.0,0.11,0.22
Exceeds Expected Growth_TCHR_Student Growth_Pct,0.5,0.42,0.3,0.3,0.02,0.04,0.07,0.13,0.22
EOCMathI_CACR_AmericanIndian,0.5,0.41,0.32,0.31,0.21,0.0,0.0,0.02,0.22
Domestic production activities deduction Amt LT25K,0.5,0.39,0.32,0.31,0.2,0.0,0.01,0.04,0.22
Home mortgage interest paid from personal seller Amt LT25K,0.5,0.2,0.32,0.17,0.45,0.0,0.01,0.09,0.22
Crime_Rate_Index_Rate,0.5,0.07,0.18,0.13,0.77,0.01,0.01,0.06,0.22
wap_num,0.5,0.42,0.32,0.31,0.01,0.04,0.01,0.19,0.22
EOGScienceGr5&8_CACR_Asian,0.5,0.46,0.32,0.31,0.17,0.0,0.01,0.03,0.22
EOGReadingGr3_CACR_SWD,0.5,0.42,0.32,0.3,0.11,0.0,0.05,0.1,0.22
EOGGr5_CACR_TwoorMoreRaces,0.5,0.41,0.32,0.31,0.15,0.0,0.02,0.06,0.22
EOGReadingGr5_GLP_LEP,0.5,0.41,0.32,0.31,0.18,0.0,0.0,0.01,0.22
EOGMathGr4_CACR_LEP,0.5,0.44,0.32,0.31,0.16,0.0,0.0,0.04,0.22
Partnership/S-corp net income (less loss) Amt LT25K,0.5,0.16,0.29,0.27,0.43,0.01,0.01,0.09,0.22
EOGMathGr3-8_CACR_Asian,0.5,0.41,0.32,0.31,0.14,0.0,0.02,0.06,0.22
EOGReadingGr3_CACR_Hispanic,0.5,0.42,0.32,0.31,0.11,0.0,0.02,0.07,0.22
EOGMathGr4_CACR_Hispanic,0.5,0.45,0.32,0.31,0.07,0.0,0.02,0.07,0.22
EOGGr5_CACR_Hispanic,0.5,0.38,0.31,0.27,0.16,0.0,0.05,0.08,0.22
EOGGr5_CACR_Black,0.5,0.43,0.32,0.31,0.09,0.0,0.01,0.1,0.22
EOGReadingGr3-8_CACR_Hispanic,0.5,0.44,0.32,0.31,0.06,0.01,0.03,0.1,0.22
EOGMathGr5_CACR_Asian,0.5,0.39,0.32,0.31,0.06,0.0,0.01,0.06,0.21
EOGMathGr3_CACR_TwoorMoreRaces,0.5,0.42,0.32,0.31,0.09,0.0,0.0,0.02,0.21
EOGReadingGr4_CACR_Black,0.5,0.4,0.32,0.29,0.08,0.01,0.0,0.09,0.21
EOCMathI_CACR_Asian,0.5,0.42,0.32,0.31,0.07,0.0,0.0,0.07,0.21
EOGReadingGr3-8_CACR_AmericanIndian,0.5,0.41,0.32,0.31,0.13,0.0,0.0,0.01,0.21
EOGReadingGr4_CACR_Hispanic,0.5,0.39,0.32,0.31,0.06,0.0,0.02,0.06,0.21
EOCMathI_CACR_EDS,0.5,0.43,0.31,0.31,0.05,0.01,0.0,0.1,0.21
EOGMathGr4_CACR_TwoorMoreRaces,0.5,0.43,0.32,0.31,0.13,0.0,0.0,0.01,0.21
EOGSubjects_CACR_AmericanIndian,0.5,0.4,0.32,0.31,0.14,0.0,0.0,0.04,0.21
NC Math 1 Score,0.5,0.42,0.32,0.31,0.05,0.0,0.0,0.09,0.21
lea_avg_student_num,0.5,0.4,0.32,0.31,0.08,0.03,0.0,0.07,0.21
EOGGr4_CACR_Hispanic,0.5,0.43,0.32,0.31,0.0,0.01,0.04,0.08,0.21
EOGGr5_CACR_AmericanIndian,0.5,0.43,0.32,0.31,0.11,0.0,0.0,0.02,0.21
EOGScienceGr5&8_GLP_LEP,0.5,0.4,0.32,0.31,0.1,0.0,0.0,0.06,0.21
EOGGr5_CACR_Asian,0.5,0.43,0.32,0.31,0.03,0.0,0.02,0.06,0.21
lea_expelled_per_c_num,0.5,0.37,0.16,0.11,0.52,0.0,0.01,0.03,0.21
EOCMathI_GLP_SWD,0.5,0.41,0.32,0.31,0.04,0.0,0.0,0.13,0.21
EOGGr3_CACR_TwoorMoreRaces,0.5,0.42,0.32,0.31,0.1,0.0,0.01,0.03,0.21
EOGGr4_CACR_AmericanIndian,0.5,0.42,0.32,0.31,0.12,0.0,0.0,0.02,0.21
EOGReadingGr4_GLP_LEP,0.5,0.41,0.32,0.31,0.13,0.0,0.0,0.02,0.21
EOGReadingGr5_CACR_LEP,0.5,0.42,0.32,0.31,0.01,0.0,0.0,0.02,0.2
EOGScienceGr5_CACR_AmericanIndian,0.5,0.4,0.32,0.31,0.03,0.0,0.0,0.01,0.2
EOGReadingGr5_CACR_AmericanIndian,0.5,0.45,0.32,0.31,0.01,0.0,0.0,0.01,0.2
lea_emer_prov_teach_pct,0.5,0.41,0.32,0.31,0.04,0.02,0.0,0.03,0.2
"calendar_type_txt_Vocational Education, Traditional Calendar",0.5,0.42,0.32,0.31,0.05,0.0,0.0,0.02,0.2
Not Demostrated_TCHR_Standard 2_Pct,0.5,0.42,0.32,0.31,0.01,0.0,0.0,0.03,0.2
EOGReadingGr3_CACR_AmericanIndian,0.5,0.42,0.32,0.31,0.02,0.0,0.0,0.01,0.2
EOGReadingGr4_CACR_LEP,0.5,0.42,0.32,0.31,0.02,0.0,0.0,0.01,0.2
Pct of Anticipation Loans,0.5,0.34,0.0,0.0,0.61,0.03,0.01,0.04,0.19
Avg Dependents Per Ret,0.5,0.09,0.16,0.0,0.52,0.02,0.04,0.07,0.18
Year,1.0,0.42,0.32,0.31,0.78,0.0,,0.0,
