,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
EOGMathGr3_CACR_White,0.5,0.28,0.23,0.2,0.91,0.01,0.17,0.35,0.33
04_Size,0.5,0.52,0.32,0.35,0.78,0.02,0.05,0.12,0.33
unit_code,0.5,0.42,0.34,0.34,1.0,0.03,0.0,0.03,0.33
LEACode,0.5,0.43,0.32,0.32,1.0,0.01,0.0,0.03,0.33
"calendar_type_txt_Magnet School, Year-Round Calendar",0.73,0.45,0.32,0.33,0.78,0.0,0.01,0.04,0.33
lea_salary_expense_pct,0.68,0.33,0.18,0.12,1.0,0.02,0.17,0.16,0.33
pct_eds,0.5,0.46,0.42,0.41,0.35,0.05,0.2,0.28,0.33
EOG/EOCSubjects_CACR_Black,0.5,0.54,0.41,0.44,0.53,0.05,0.01,0.13,0.33
esea_status_P,0.5,0.47,0.4,0.4,0.59,0.0,0.1,0.15,0.33
Deductible points Amt LT25K,0.5,0.5,0.32,0.31,0.94,0.0,0.0,0.07,0.33
Developing_TCHR_Standard 1_Pct,0.5,0.43,0.32,0.31,0.66,0.03,0.2,0.2,0.33
SPG Score,0.5,0.33,0.29,0.26,0.49,0.02,0.22,0.51,0.33
Advance premium tax credit Amt GE200K,0.5,0.58,0.32,0.41,0.82,0.0,0.0,0.01,0.33
st_tchyrs_0thru3_pct,0.5,0.53,0.32,0.32,0.9,0.0,0.0,0.04,0.33
SBE District_Southeast,0.5,0.52,0.33,0.35,0.83,0.0,0.01,0.03,0.32
EOGMathGr5_CACR_Hispanic,0.5,0.55,0.37,0.41,0.63,0.01,0.0,0.07,0.32
"calendar_type_txt_Regular School, Year-Round Calendar",0.68,0.43,0.32,0.31,0.79,0.0,0.01,0.02,0.32
lea_stud_internet_comp_num,0.5,0.5,0.32,0.34,0.85,0.02,0.0,0.04,0.32
Domestic production activities deduction Amt 50KLT75K,0.5,0.5,0.32,0.34,0.73,0.0,0.02,0.12,0.32
EOGScienceGr5&8_CACR_EDS,0.5,0.52,0.32,0.31,0.65,0.01,0.05,0.19,0.32
"calendar_type_txt_Magnet School, Traditional Calendar",0.72,0.45,0.29,0.29,0.81,0.0,0.0,0.03,0.32
lea_wap_num,0.5,0.55,0.32,0.31,0.74,0.01,0.01,0.08,0.32
Attrition_Reason_BeyondControlPerct,0.5,0.36,0.28,0.23,0.99,0.02,0.07,0.11,0.32
EOGReadingGr3-8_CACR_EDS,0.5,0.33,0.32,0.31,0.64,0.02,0.11,0.3,0.32
Attrition_Reason_OtherReasons,0.5,0.6,0.32,0.37,0.65,0.01,0.0,0.14,0.32
EOGGr3_CACR_SWD,0.5,0.51,0.43,0.42,0.47,0.01,0.07,0.16,0.32
nbpts_num,0.5,0.47,0.32,0.32,0.47,0.02,0.12,0.38,0.32
10+ Years_LEA_Exp_Pct_Prin,0.5,0.47,0.32,0.31,0.75,0.02,0.02,0.07,0.31
EOGMathGr3-8_CACR_EDS,0.5,0.5,0.32,0.31,0.4,0.01,0.12,0.29,0.31
EOGGr3_CACR_All,0.5,0.43,0.32,0.31,0.5,0.0,0.15,0.29,0.31
lea_long_susp_per_c_num,0.5,0.5,0.32,0.43,0.62,0.02,0.03,0.09,0.31
lea_sat_participation_pct,0.5,0.52,0.41,0.43,0.51,0.02,0.02,0.05,0.31
4-10 Years_LEA_Exp_Pct_Prin,0.5,0.45,0.32,0.31,0.75,0.02,0.02,0.08,0.31
Other non-limited misc deduction Ct 75KLT100K,0.5,0.5,0.32,0.31,0.72,0.0,0.01,0.11,0.31
lea_ap_participation_pct,0.5,0.51,0.39,0.4,0.54,0.01,0.02,0.1,0.31
EOGMathGr3-8_CACR_TwoorMoreRaces,0.5,0.48,0.37,0.37,0.56,0.01,0.02,0.15,0.31
EOGSubjects_CACR_LEP,0.5,0.36,0.32,0.31,0.86,0.0,0.03,0.09,0.31
student_num,0.5,0.37,0.32,0.29,0.57,0.07,0.0,0.35,0.31
Reading SPG Score,0.5,0.49,0.32,0.31,0.38,0.01,0.09,0.36,0.31
Self-employed (Keogh) retirement plans Ct LT25K,0.5,0.63,0.34,0.36,0.63,0.0,0.0,0.05,0.31
EOGReadingGr3_CACR_Black,0.5,0.53,0.34,0.38,0.59,0.01,0.0,0.1,0.31
Domestic production activities deduction Ct LT25K,0.5,0.5,0.32,0.31,0.83,0.0,0.01,0.04,0.31
Crime_Rate_MVT_Rate,0.5,0.55,0.32,0.31,0.76,0.02,0.0,0.01,0.31
SPG Grade_B,0.5,0.35,0.3,0.28,0.6,0.0,0.12,0.31,0.31
st_nbpts_num,0.58,0.38,0.32,0.31,0.8,0.0,0.0,0.07,0.31
(VITA) prepared returns Ct 50KLT75K,0.5,0.41,0.32,0.31,0.88,0.0,0.0,0.07,0.31
Pct of Anticipation Checks,0.5,0.42,0.32,0.31,0.64,0.01,0.13,0.18,0.31
Domestic production activities deduction Amt 100KLT200K,0.5,0.46,0.34,0.37,0.72,0.01,0.02,0.06,0.31
EOG/EOCSubjects_CACR_Asian,0.5,0.53,0.36,0.36,0.57,0.01,0.01,0.12,0.31
Distinguished_TCHR_Standard 4_Pct,0.5,0.45,0.32,0.33,0.66,0.02,0.06,0.15,0.31
Add child tax credit Amt 25KLT50K,0.5,0.18,0.32,0.31,0.93,0.01,0.01,0.1,0.3
Add child tax credit Amt 75KLT100K,0.5,0.32,0.32,0.31,0.83,0.0,0.02,0.07,0.3
Alternative minimum tax Amt 50KLT75K,0.5,0.46,0.32,0.31,0.73,0.0,0.0,0.04,0.3
category_cd_E,0.43,0.35,0.32,0.31,0.89,0.0,0.04,0.09,0.3
advance_dgr_pct,0.5,0.45,0.37,0.38,0.36,0.04,0.14,0.19,0.3
category_cd_H,0.37,0.49,0.32,0.31,0.81,0.0,0.0,0.08,0.3
SBE District_Sandhills,0.5,0.53,0.35,0.39,0.55,0.0,0.01,0.03,0.3
EOGMathGr4_CACR_AIG,0.5,0.47,0.35,0.34,0.53,0.0,0.06,0.14,0.3
category_cd_M,0.42,0.36,0.35,0.32,0.9,0.0,0.03,0.05,0.3
category_cd_I,0.46,0.35,0.31,0.29,0.9,0.0,0.01,0.05,0.3
EOGGr5_CACR_All,0.5,0.33,0.32,0.29,0.57,0.01,0.12,0.28,0.3
Other non-limited misc deduction Amt LT25K,0.5,0.49,0.32,0.31,0.73,0.0,0.0,0.07,0.3
EOCSubjects_CACR_LEP,0.5,0.37,0.32,0.31,0.85,0.0,0.0,0.07,0.3
EOCMathI_CACR_AIG,0.5,0.48,0.36,0.35,0.68,0.0,0.0,0.06,0.3
lea_salary,0.5,0.45,0.32,0.31,0.7,0.02,0.02,0.08,0.3
lea_sat_avg_score_num,0.5,0.32,0.25,0.1,0.65,0.11,0.16,0.3,0.3
EOGGr4_CACR_AIG,0.5,0.48,0.35,0.35,0.43,0.0,0.09,0.16,0.3
EOG/EOCSubjects_CACR_SWD,0.5,0.32,0.32,0.31,0.52,0.02,0.12,0.25,0.3
EOCMathI_CACR_Male,0.5,0.47,0.33,0.34,0.62,0.01,0.0,0.09,0.3
Pct of Farm Returns,0.5,0.41,0.33,0.37,0.7,0.02,0.01,0.06,0.3
Other non-limited misc deduction Ct LT25K,0.5,0.33,0.32,0.31,0.87,0.0,0.0,0.07,0.3
Domestic production activities deduction Ct 25KLT50K,0.5,0.45,0.33,0.31,0.75,0.0,0.01,0.06,0.3
lea_flicensed_teach_pct,0.5,0.42,0.32,0.31,0.02,0.08,0.42,0.3,0.3
Number of farm returns GE200K,0.52,0.38,0.32,0.31,0.8,0.0,0.01,0.07,0.3
EOGScienceGr5_CACR_EDS,0.5,0.34,0.27,0.25,0.69,0.01,0.08,0.2,0.29
EOGSubjects_CACR_Hispanic,0.5,0.48,0.35,0.39,0.42,0.01,0.05,0.15,0.29
lea_short_susp_per_c_num,0.5,0.35,0.32,0.29,0.48,0.04,0.08,0.23,0.29
Earned income credit Amt 50KLT75K,0.5,0.23,0.32,0.28,0.92,0.0,0.0,0.08,0.29
EOGGr4_CACR_SWD,0.5,0.47,0.33,0.36,0.39,0.01,0.08,0.15,0.29
EOGMathGr5_CACR_White,0.5,0.47,0.32,0.33,0.24,0.01,0.15,0.28,0.29
EOGScienceGr5&8_CACR_White,0.5,0.32,0.3,0.27,0.55,0.01,0.11,0.22,0.29
EOGScienceGr5&8_CACR_Black,0.5,0.5,0.32,0.34,0.42,0.02,0.01,0.18,0.29
Other non-limited misc deduction Amt 75KLT100K,0.5,0.29,0.26,0.28,0.85,0.0,0.01,0.11,0.29
Domestic production activities deduction Ct 50KLT75K,0.5,0.31,0.33,0.31,0.74,0.0,0.03,0.12,0.29
EOGReadingGr5_CACR_EDS,0.5,0.49,0.32,0.31,0.4,0.01,0.08,0.19,0.29
SPG Grade_D,0.5,0.39,0.32,0.31,0.39,0.0,0.16,0.24,0.29
EOG/EOCSubjects_CACR_EDS,0.5,0.33,0.27,0.16,0.41,0.04,0.23,0.4,0.29
0-3 Years_LEA_Exp_Pct_Prin,0.5,0.38,0.29,0.24,0.76,0.03,0.05,0.09,0.29
EOGGr4_GLP_LEP,0.5,0.49,0.32,0.31,0.69,0.01,0.0,0.03,0.29
EOGGr4_CACR_White,0.5,0.21,0.23,0.15,0.82,0.01,0.13,0.26,0.29
Not Demostrated_TCHR_Standard 1_Pct,0.5,0.48,0.43,0.6,0.26,0.0,0.0,0.02,0.29
Distinguished_TCHR_Standard 1_Pct,0.5,0.33,0.32,0.31,0.67,0.02,0.08,0.11,0.29
EOGMathGr3-8_CACR_SWD,0.5,0.39,0.32,0.31,0.43,0.01,0.12,0.24,0.29
Investment interest paid Ct LT25K,0.5,0.39,0.32,0.32,0.76,0.0,0.0,0.05,0.29
Alternative minimum tax Ct 75KLT100K,0.5,0.64,0.32,0.31,0.43,0.0,0.0,0.03,0.28
Crime_Rate_Burglary_Rate,0.5,0.45,0.23,0.2,0.77,0.01,0.02,0.09,0.28
EOGGr4_CACR_All,0.5,0.3,0.32,0.28,0.35,0.0,0.14,0.33,0.28
avg_age_media_collection,0.5,0.47,0.32,0.31,0.55,0.03,0.0,0.04,0.28
EOGScienceGr5&8_CACR_Hispanic,0.5,0.35,0.32,0.28,0.63,0.02,0.0,0.15,0.28
EOGGr5_CACR_SWD,0.5,0.35,0.28,0.22,0.6,0.01,0.08,0.16,0.28
Number of farm returns 75KLT100K,0.57,0.19,0.23,0.19,0.87,0.01,0.05,0.13,0.28
Crime_Rate_Violent_Rate,0.5,0.18,0.31,0.2,0.91,0.01,0.04,0.11,0.28
Math SPG Grade_F,0.5,0.39,0.31,0.3,0.48,0.0,0.08,0.14,0.28
Alternative minimum tax Amt 25KLT50K,0.5,0.37,0.3,0.26,0.72,0.0,0.0,0.06,0.28
Tot Add Medicare tax Amt 25KLT50K,0.5,0.37,0.32,0.31,0.69,0.0,0.0,0.02,0.28
EOGMathGr5_CACR_LEP,0.5,0.48,0.32,0.33,0.56,0.0,0.0,0.02,0.28
EOGReadingGr5_CACR_SWD,0.5,0.49,0.34,0.37,0.45,0.0,0.02,0.05,0.28
Alternative minimum tax Ct 50KLT75K,0.5,0.33,0.31,0.28,0.77,0.0,0.0,0.04,0.28
Domestic production activities deduction Amt 25KLT50K,0.5,0.3,0.32,0.31,0.74,0.0,0.0,0.06,0.28
Math SPG Grade_B,0.5,0.4,0.31,0.31,0.39,0.0,0.12,0.23,0.28
EOGReadingGr4_CACR_AmericanIndian,0.5,0.49,0.32,0.31,0.61,0.0,0.0,0.01,0.28
lea_nbpts_num,0.5,0.38,0.26,0.22,0.51,0.02,0.1,0.24,0.28
EOGReadingGr4_CACR_SWD,0.5,0.49,0.32,0.31,0.47,0.0,0.05,0.11,0.28
03_Size,0.5,0.33,0.24,0.2,0.78,0.01,0.06,0.14,0.28
lea_tchyrs_11plus_pct,0.5,0.4,0.32,0.31,0.38,0.02,0.19,0.15,0.28
EOGMathGr3_CACR_EDS,0.5,0.41,0.32,0.31,0.37,0.01,0.11,0.18,0.28
EOGMathGr3_CACR_LEP,0.5,0.51,0.32,0.31,0.58,0.0,0.01,0.04,0.28
EOGMathGr3-8_CACR_White,0.5,0.45,0.32,0.31,0.26,0.01,0.12,0.26,0.28
Attrition_Reason_InitiatedbyLEA,0.5,0.16,0.32,0.3,0.94,0.0,0.0,0.05,0.28
EOCSubjects_GLP_LEP,0.5,0.47,0.32,0.31,0.54,0.0,0.0,0.13,0.28
EOCSubjects_CACR_SWD,0.5,0.47,0.32,0.31,0.52,0.0,0.0,0.08,0.28
Math I_Size,0.5,0.46,0.32,0.34,0.48,0.01,0.02,0.11,0.28
EOG/EOCSubjects_GLP_LEP,0.5,0.41,0.32,0.31,0.53,0.01,0.03,0.12,0.28
Other non-limited misc deduction Amt 50KLT75K,0.5,0.31,0.32,0.31,0.74,0.0,0.02,0.06,0.28
Avg Tot Income,0.5,0.3,0.32,0.31,0.64,0.02,0.03,0.1,0.28
EOCSubjects_CACR_AIG,0.5,0.38,0.32,0.31,0.68,0.0,0.0,0.06,0.28
(VITA) prepared returns Ct 25KLT50K,0.5,0.2,0.32,0.31,0.77,0.01,0.01,0.09,0.28
EOGMathGr5_CACR_Black,0.5,0.5,0.32,0.34,0.46,0.01,0.0,0.1,0.28
Crime_Rate_Arson_Rate,0.5,0.51,0.28,0.31,0.58,0.02,0.0,0.02,0.28
Not Demostrated_TCHR_Standard 4_Pct,0.5,0.41,0.32,0.31,0.6,0.0,0.0,0.02,0.27
EOGSubjects_CACR_Asian,0.5,0.36,0.32,0.31,0.56,0.01,0.02,0.08,0.27
Number of farm returns All,0.0,0.48,0.32,0.31,0.86,0.01,0.06,0.11,0.27
EVAAS Growth Score,0.5,0.35,0.32,0.27,0.49,0.03,0.04,0.13,0.27
EOGSubjects_CACR_AIG,0.5,0.0,0.27,0.12,0.89,0.01,0.05,0.3,0.27
Reading SPG Grade_D,0.5,0.44,0.32,0.32,0.31,0.0,0.11,0.19,0.27
Net investment income tax Amt 100KLT200K,0.5,0.08,0.32,0.29,0.91,0.0,0.0,0.04,0.27
(TCE) prepared returns Ct 100KLT200K,0.5,0.33,0.32,0.3,0.7,0.0,0.0,0.01,0.27
EOGMathGr3-8_CACR_AIG,0.5,0.39,0.3,0.29,0.36,0.01,0.07,0.26,0.27
EOCSubjects_CACR_TwoorMoreRaces,0.5,0.46,0.35,0.36,0.32,0.0,0.0,0.16,0.27
"calendar_type_txt_Regular School, Traditional Calendar",0.26,0.48,0.32,0.31,0.79,0.0,0.01,0.02,0.27
SciGr5&8_pTarget_PctMet,0.5,0.32,0.31,0.28,0.64,0.0,0.01,0.09,0.27
